002181,18.42
300166,45.0
600841,50.67
601211,38.39
002439,34.72
300219,43.75
000878,43.88
600837,40.31
600642,52.31
002475,42.14
000750,30.9
603318,48.9
300302,47.47
000166,39.51
000776,35.87
601788,39.52
002467,36.42
000157,40.19
600184,40.36
300284,39.36
002496,49.24
300098,40.29
600100,42.24
300364,35.2
000852,46.59
600388,46.44
300422,56.8
000728,39.95
002236,52.17
002736,38.14
600628,28.8
600876,46.27
000733,46.73
600198,42.77
002026,48.1
002095,50.64
002264,42.24
600703,41.87
002179,49.81
002029,56.53
600958,36.66
603566,51.17
000006,30.58
600526,39.76
002410,50.96
000838,39.37
300295,43.33
600986,44.77
000066,61.28
600795,78.27
000701,50.56
300072,34.94
600776,60.42
000513,38.99
300370,54.93
300334,49.64
002345,38.67
002591,57.04
600636,48.46
002339,58.34
600028,38.19
600276,47.81
000038,42.52
300176,62.65
600436,46.31
002638,33.09
601688,40.6
600416,54.05
600487,47.4
300343,42.92
600289,41.08
600282,50.58
300451,49.61
603300,51.85
300346,55.78
600292,50.05
600077,47.38
002528,42.63
002573,55.73
002276,45.17
002752,45.59
601318,39.84
002239,43.06
600847,56.96
000917,49.86
300288,33.9
000783,30.52
300179,51.4
000981,48.46
601288,40.95
002609,43.7
000839,36.76
002083,55.25
002050,48.65
000915,27.08
600251,52.21
002612,42.29
000926,43.84
002364,60.8
300394,61.74
