002181,10.59
300166,15.71
600841,11.64
601211,15.32
002439,12.05
300219,10.78
000878,10.08
600837,16.26
600642,11.33
002475,12.14
000750,12.91
603318,11.99
300302,11.97
000166,16.27
000776,15.82
601788,12.14
002467,11.48
000157,11.53
600184,11.18
300284,10.87
002496,9.18
300098,10.2
600100,11.71
300364,9.34
000852,10.74
600388,12.53
300422,12.15
000728,14.72
002236,14.0
002736,14.45
600628,10.92
600876,11.13
000733,13.54
600198,12.4
002026,10.87
002095,11.86
002264,10.79
600703,13.3
002179,11.57
002029,12.91
600958,14.32
603566,10.52
000006,7.27
600526,8.98
002410,12.24
000838,12.74
300295,12.16
600986,6.34
000066,14.72
600795,15.73
000701,10.23
300072,9.89
600776,12.19
000513,8.77
300370,13.13
300334,11.77
002345,10.65
002591,7.91
600636,8.42
002339,12.67
600028,13.41
600276,11.44
000038,8.6
300176,9.51
600436,12.16
002638,8.14
601688,15.43
600416,13.77
600487,10.07
300343,9.02
600289,11.55
600282,11.25
300451,12.64
603300,10.16
300346,9.79
600292,12.3
600077,10.29
002528,8.99
002573,12.05
002276,12.47
002752,5.4
601318,14.35
002239,10.97
600847,9.95
000917,11.94
300288,9.34
000783,13.79
300179,5.97
000981,10.13
601288,14.26
002609,9.98
000839,11.87
002083,11.31
002050,8.22
000915,7.12
600251,11.38
002612,8.96
000926,9.35
002364,13.7
300394,9.94
